Number,Short description,Change Environment,Opened by,Assigned to,Assignment group,Service,State,Risk,Priority,Urgency,Impact,Model,Created,Start Date,Closed
CR-155,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User B,User C,Group B,Service A,Canceled,High,P2,High,High,Model C,2025-09-11 18:12:40,2025-09-11 19:12:40,2025-09-11 20:12:40
CR-156,User login failed: Account locked due to excessive login attempts.,Network,User C,"",Group B,Service C,In Progress,High,P3,Medium,Low,Model B,2025-04-11 18:12:40,2025-04-11 19:12:40,
CR-157,Service outage detected - No connection to database.,Hardware,User B,User D,Group A,Service A,New,High,P1,High,High,Model A,2025-05-31 18:12:40,,
CR-158,Critical alert: Database server overload detected.,Complaint,User B,User A,Group A,Service C,Canceled,High,P3,Low,Medium,Model C,2024-07-25 18:12:40,2024-07-25 21:12:40,2024-07-25 23:12:40
CR-159,Failed Workflow - ID: 0000,Software,User A,User C,Group A,Service B,Canceled,Medium,P1,Low,High,Model B,2025-11-07 18:12:40,2025-11-07 19:12:40,2025-11-07 22:12:40
CR-160,User login failed: Account locked due to excessive login attempts.,Software,User A,User A,Group B,Service C,In Progress,High,P1,High,Low,Model C,2024-12-15 18:12:40,2024-12-15 20:12:40,
CR-161,Critical alert: Database server overload detected.,Network,User B,User C,Group A,Service B,Resolved,High,P1,High,Medium,Model A,2024-10-19 18:12:40,2024-10-19 19:12:40,2024-10-19 20:12:40
CR-162,User login failed: Account locked due to excessive login attempts.,Access,User A,User A,Group A,Service A,New,High,P2,High,Medium,Model C,2024-08-20 18:12:40,,
CR-163,Service unavailable due to maintenance,Data,User A,User A,Group B,Service A,Canceled,Low,P3,Low,Low,Model C,2024-01-16 18:12:40,2024-01-16 19:12:40,2024-01-16 21:12:40
CR-164,Critical alert: Database server overload detected.,Network,User A,User B,Group B,Service B,Canceled,Low,P3,High,Low,Model B,2025-07-01 18:12:40,2025-07-01 19:12:40,2025-07-01 21:12:40
CR-165,Suspicious activity detected on account: User A.,Complaint,User C,User C,Group B,Service C,In Progress,Medium,P3,Medium,High,Model B,2023-11-21 18:12:40,2023-11-21 21:12:40,
CR-166,Data breach notification sent to affected users.,Software,User A,User B,Group B,Service A,Closed,Low,P3,Low,Medium,Model A,2024-10-24 18:12:40,2024-10-24 21:12:40,2024-10-25 00:12:40
CR-167,Service outage detected - No connection to database.,Network,User B,User C,Group B,Service A,Closed,High,P1,High,High,Model B,2025-06-01 18:12:40,2025-06-01 19:12:40,2025-06-01 20:12:40
CR-168,Failed Workflow - ID: 0000,Failure,User D,User C,Group C,Service B,Resolved,Medium,P2,High,Medium,Model B,2025-07-03 18:12:40,2025-07-03 20:12:40,2025-07-03 22:12:40
CR-169,Failed Workflow - ID: 0000,Complaint,User A,"",Group A,Service B,Canceled,Medium,P3,High,Low,Model A,2025-08-26 18:12:40,2025-08-26 20:12:40,2025-08-26 23:12:40
CR-170,Suspicious activity detected on account: User A.,Complaint,User D,"",Group A,Service B,Canceled,High,P2,Medium,Medium,Model B,2025-07-26 18:12:40,2025-07-26 19:12:40,2025-07-26 23:12:40
CR-171,Security alert: Unauthorized access attempt detected.,Failure,User C,User B,Group B,Service C,Canceled,Low,P1,Medium,Low,Model A,2024-09-24 18:12:40,2024-09-24 21:12:40,2024-09-24 22:12:40
CR-172,Service outage detected - No connection to database.,Facilities,User C,User A,Group A,Service C,Canceled,Low,P3,High,Medium,Model B,2024-09-30 18:12:40,2024-09-30 21:12:40,2024-09-30 22:12:40
CR-173,Suspicious activity detected on account: User A.,Facilities,User A,User B,Group A,Service B,New,Medium,P3,Medium,Low,Model B,2025-03-14 18:12:40,,
CR-174,Routine check: All systems operational - No issues detected.,Software,User B,"",Group A,Service C,On Hold,High,P1,Low,High,Model C,2024-03-09 18:12:40,,
CR-175,Critical alert: Database server overload detected.,Network,User A,"",Group B,Service B,Canceled,Medium,P1,Low,High,Model A,2025-08-06 18:12:40,2025-08-06 19:12:40,2025-08-06 22:12:40
CR-176,Service unavailable due to maintenance,SLA Breach,User A,User A,Group B,Service A,New,Low,P1,Medium,Medium,Model A,2025-01-22 18:12:40,,
CR-177,Data breach notification sent to affected users.,Complaint,User B,User C,Group B,Service B,Closed,High,P3,Low,Medium,Model C,2025-08-28 18:12:40,2025-08-28 21:12:40,2025-08-28 22:12:40
CR-178,Service outage detected - No connection to database.,Access,User C,User A,Group C,Service C,New,High,P1,Low,High,Model A,2025-01-06 18:12:40,,
CR-179,Security alert: Unauthorized access attempt detected.,Facilities,User A,User A,Group A,Service C,On Hold,Low,P1,Low,Low,Model A,2025-09-04 18:12:40,,
CR-180,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User C,User A,Group A,Service B,Closed,Medium,P1,High,Medium,Model C,2025-11-17 18:12:40,2025-11-17 20:12:40,2025-11-17 21:12:40
CR-181,Service unavailable due to maintenance,Facilities,User B,User D,Group C,Service B,Closed,High,P2,High,Low,Model A,2024-08-05 18:12:40,2024-08-05 20:12:40,2024-08-06 00:12:40
CR-182,Network issue: Unable to connect to external API.,SLA Breach,User D,User B,Group C,Service B,In Progress,High,P2,Medium,High,Model B,2025-04-17 18:12:40,2025-04-17 19:12:40,
CR-183,Service outage detected - No connection to database.,Network,User D,User B,Group A,Service B,In Progress,Medium,P3,High,Low,Model C,2025-05-09 18:12:40,2025-05-09 19:12:40,
CR-184,Service unavailable due to maintenance,Hardware,User D,User A,Group C,Service B,Closed,High,P3,Medium,High,Model C,2025-11-17 18:12:40,2025-11-17 19:12:40,2025-11-17 20:12:40
CR-185,Suspicious activity detected on account: User A.,Data,User A,User D,Group C,Service C,Closed,High,P2,Low,Medium,Model C,2025-01-07 18:12:40,2025-01-07 21:12:40,2025-01-08 00:12:40
CR-186,Network issue: Unable to connect to external API.,Network,User D,User C,Group A,Service B,In Progress,High,P2,Medium,High,Model A,2025-01-17 18:12:40,2025-01-17 21:12:40,
CR-187,Routine check: All systems operational - No issues detected.,Complaint,User B,User C,Group B,Service C,Canceled,Low,P1,Medium,High,Model A,2024-03-07 18:12:40,2024-03-07 20:12:40,2024-03-07 21:12:40
CR-188,Security alert: Unauthorized access attempt detected.,Hardware,User B,User A,Group C,Service A,Resolved,Medium,P1,Medium,Low,Model C,2024-11-17 18:12:40,2024-11-17 21:12:40,2024-11-18 00:12:40
CR-189,Network issue: Unable to connect to external API.,Complaint,User C,"",Group A,Service C,On Hold,Medium,P3,Low,Low,Model B,2024-07-28 18:12:40,,
CR-190,Performance report: Sluggish response times on application.,Access,User D,User A,Group A,Service A,Closed,Medium,P1,Medium,Medium,Model C,2024-12-29 18:12:40,2024-12-29 20:12:40,2024-12-29 22:12:40
CR-191,Routine check: All systems operational - No issues detected.,Network,User D,User D,Group B,Service B,On Hold,Low,P1,High,Low,Model B,2024-05-27 18:12:40,,
CR-192,User login failed: Account locked due to excessive login attempts.,Complaint,User B,User A,Group A,Service B,New,Medium,P3,High,Low,Model B,2023-12-20 18:12:40,,
CR-193,Data breach notification sent to affected users.,SLA Breach,User C,User D,Group C,Service C,Canceled,Low,P1,High,High,Model A,2025-09-08 18:12:40,2025-09-08 19:12:40,2025-09-08 23:12:40
CR-194,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User B,"",Group B,Service C,Resolved,Low,P1,Medium,High,Model C,2025-08-25 18:12:40,2025-08-25 20:12:40,2025-08-26 00:12:40
CR-195,Security alert: Unauthorized access attempt detected.,Network,User C,User D,Group A,Service C,Canceled,Low,P3,Medium,Low,Model C,2025-05-01 18:12:40,2025-05-01 21:12:40,2025-05-02 00:12:40
CR-196,Service outage detected - No connection to database.,Facilities,User B,User D,Group C,Service A,New,High,P2,High,High,Model B,2025-10-29 18:12:40,,
CR-197,Security patch applied: Monitoring for any issues.,Facilities,User B,User A,Group A,Service B,Canceled,Low,P1,Low,Low,Model A,2024-10-21 18:12:40,2024-10-21 20:12:40,2024-10-22 00:12:40
CR-198,Service unavailable due to maintenance,Hardware,User D,"",Group B,Service A,Closed,Low,P2,Low,Low,Model C,2024-03-08 18:12:40,2024-03-08 21:12:40,2024-03-08 22:12:40
CR-199,Suspicious activity detected on account: User A.,Software,User A,User A,Group B,Service A,Resolved,Medium,P1,Low,Low,Model C,2024-09-07 18:12:40,2024-09-07 21:12:40,2024-09-08 00:12:40
CR-200,User login failed: Account locked due to excessive login attempts.,Software,User D,User D,Group C,Service B,Closed,Low,P1,Low,Medium,Model A,2025-02-28 18:12:40,2025-02-28 20:12:40,2025-02-28 22:12:40
CR-201,Network issue: Unable to connect to external API.,Facilities,User D,User A,Group B,Service C,Resolved,High,P2,Medium,Medium,Model C,2024-02-12 18:12:40,2024-02-12 20:12:40,2024-02-13 00:12:40
CR-202,Service outage detected - No connection to database.,Access,User D,User D,Group B,Service B,New,Medium,P2,Low,Medium,Model A,2025-06-26 18:12:40,,
CR-203,Suspicious activity detected on account: User A.,Access,User B,User D,Group A,Service B,New,High,P3,Low,Low,Model C,2025-09-07 18:12:40,,
CR-204,Security patch applied: Monitoring for any issues.,Hardware,User C,"",Group A,Service B,On Hold,High,P3,Low,Medium,Model C,2024-07-28 18:12:40,,
CR-205,Service unavailable due to maintenance,Network,User D,User C,Group C,Service B,In Progress,Low,P1,Medium,Medium,Model C,2025-09-20 18:12:40,2025-09-20 21:12:40,
CR-206,Network issue: Unable to connect to external API.,Data,User C,User D,Group A,Service C,On Hold,High,P1,Low,Low,Model A,2024-08-10 18:12:40,,
CR-207,Failed Workflow - ID: 0000,Facilities,User A,User C,Group B,Service C,On Hold,Medium,P2,Medium,High,Model C,2024-08-05 18:12:40,,
CR-208,Data breach notification sent to affected users.,Software,User B,"",Group B,Service A,Resolved,Low,P3,Low,Low,Model B,2024-05-29 18:12:40,2024-05-29 21:12:40,2024-05-29 23:12:40
CR-209,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Facilities,User D,"",Group C,Service A,On Hold,Medium,P1,Low,Low,Model C,2024-04-23 18:12:40,,
CR-210,Security alert: Unauthorized access attempt detected.,Network,User D,User D,Group C,Service C,New,Low,P1,High,Low,Model A,2025-05-11 18:12:40,,
CR-211,Service unavailable due to maintenance,Access,User A,User D,Group B,Service C,Closed,High,P3,Medium,Low,Model B,2025-01-29 18:12:40,2025-01-29 20:12:40,2025-01-29 22:12:40
CR-212,Security alert: Unauthorized access attempt detected.,Hardware,User D,User C,Group A,Service C,In Progress,Medium,P3,Low,Medium,Model C,2025-03-11 18:12:40,2025-03-11 19:12:40,
CR-213,Critical alert: Database server overload detected.,Network,User A,User D,Group C,Service C,Canceled,Low,P3,Medium,Medium,Model C,2024-05-07 18:12:40,2024-05-07 21:12:40,2024-05-08 01:12:40
CR-214,Network issue: Unable to connect to external API.,Data,User C,User D,Group B,Service A,In Progress,Medium,P1,High,Low,Model A,2025-10-31 18:12:40,2025-10-31 21:12:40,
CR-215,User login failed: Account locked due to excessive login attempts.,Access,User B,User B,Group C,Service B,Resolved,Medium,P2,Medium,High,Model C,2024-07-25 18:12:40,2024-07-25 19:12:40,2024-07-25 22:12:40
CR-216,Security patch applied: Monitoring for any issues.,Access,User D,User D,Group A,Service A,In Progress,High,P2,High,Medium,Model A,2025-05-19 18:12:40,2025-05-19 19:12:40,
CR-217,Data breach notification sent to affected users.,Hardware,User A,User C,Group A,Service A,Canceled,Low,P3,Low,High,Model C,2025-02-26 18:12:40,2025-02-26 20:12:40,2025-02-26 23:12:40
CR-218,Failed Workflow - ID: 0000,Data,User C,User C,Group B,Service C,On Hold,High,P1,Medium,High,Model B,2025-10-31 18:12:40,,
CR-219,Data breach notification sent to affected users.,SLA Breach,User B,User D,Group B,Service C,On Hold,High,P3,Low,High,Model A,2025-09-01 18:12:40,,
CR-220,Security patch applied: Monitoring for any issues.,Software,User B,User C,Group B,Service C,In Progress,High,P2,Medium,High,Model B,2024-11-13 18:12:40,2024-11-13 21:12:40,
CR-221,Network issue: Unable to connect to external API.,Hardware,User D,User D,Group A,Service C,New,Low,P2,Medium,Low,Model A,2024-08-22 18:12:40,,
CR-222,Data breach notification sent to affected users.,Access,User B,"",Group C,Service C,Resolved,Low,P3,Medium,Medium,Model B,2024-01-17 18:12:40,2024-01-17 19:12:40,2024-01-17 22:12:40
CR-223,Data breach notification sent to affected users.,SLA Breach,User A,"",Group C,Service B,On Hold,Medium,P1,Medium,Low,Model C,2024-05-17 18:12:40,,
CR-224,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User B,"",Group B,Service A,Resolved,Low,P1,Medium,Low,Model B,2024-05-18 18:12:40,2024-05-18 21:12:40,2024-05-19 00:12:40
CR-225,Suspicious activity detected on account: User A.,Network,User C,User C,Group C,Service A,In Progress,Medium,P3,Medium,Low,Model C,2025-02-03 18:12:40,2025-02-03 21:12:40,
CR-226,Security patch applied: Monitoring for any issues.,Failure,User C,User B,Group B,Service C,In Progress,Medium,P2,High,Medium,Model B,2024-03-24 18:12:40,2024-03-24 20:12:40,
CR-227,Security patch applied: Monitoring for any issues.,Software,User B,User C,Group C,Service A,On Hold,Low,P3,Low,Medium,Model C,2024-04-11 18:12:40,,
CR-228,Security alert: Unauthorized access attempt detected.,Data,User C,"",Group C,Service C,New,High,P1,Low,Low,Model C,2024-09-19 18:12:40,,
CR-229,Service unavailable due to maintenance,Failure,User B,User A,Group C,Service A,Canceled,High,P2,Medium,Medium,Model C,2025-03-03 18:12:40,2025-03-03 20:12:40,2025-03-04 00:12:40
CR-230,Data breach notification sent to affected users.,Facilities,User D,User A,Group B,Service B,Resolved,High,P1,High,High,Model A,2023-12-28 18:12:40,2023-12-28 21:12:40,2023-12-28 22:12:40
CR-231,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,SLA Breach,User D,User C,Group A,Service C,New,Low,P3,Medium,Medium,Model B,2025-02-03 18:12:40,,
CR-232,User login failed: Account locked due to excessive login attempts.,Failure,User D,User C,Group B,Service B,In Progress,High,P2,Medium,Medium,Model B,2025-04-05 18:12:40,2025-04-05 21:12:40,
CR-233,Failed Workflow - ID: 0000,Network,User C,"",Group C,Service C,New,High,P3,Low,Low,Model C,2025-11-07 18:12:40,,
CR-234,Network issue: Unable to connect to external API.,Failure,User B,User A,Group B,Service C,On Hold,High,P3,High,High,Model C,2024-03-26 18:12:40,,
CR-235,Security alert: Unauthorized access attempt detected.,Facilities,User D,User C,Group B,Service C,New,Medium,P3,Medium,Low,Model C,2024-05-19 18:12:40,,
CR-236,Suspicious activity detected on account: User A.,Failure,User C,User C,Group C,Service A,On Hold,Low,P1,Medium,High,Model A,2025-02-16 18:12:40,,
CR-237,Critical alert: Database server overload detected.,Failure,User C,User D,Group C,Service B,New,High,P1,Low,Low,Model B,2025-11-02 18:12:40,,
CR-238,Data breach notification sent to affected users.,Software,User D,User D,Group C,Service B,Resolved,Medium,P3,High,Medium,Model A,2024-12-16 18:12:40,2024-12-16 19:12:40,2024-12-16 23:12:40
CR-239,Service outage detected - No connection to database.,Access,User C,"",Group C,Service B,In Progress,Medium,P1,High,High,Model B,2024-06-05 18:12:40,2024-06-05 19:12:40,
CR-240,Suspicious activity detected on account: User A.,Failure,User D,User C,Group C,Service C,In Progress,Low,P1,High,High,Model A,2023-11-26 18:12:40,2023-11-26 19:12:40,
CR-241,Service unavailable due to maintenance,Data,User A,User A,Group C,Service C,In Progress,Low,P3,High,High,Model B,2025-01-10 18:12:40,2025-01-10 19:12:40,
CR-242,User login failed: Account locked due to excessive login attempts.,Complaint,User A,User B,Group C,Service A,On Hold,Low,P3,High,High,Model A,2024-05-19 18:12:40,,
CR-243,Network issue: Unable to connect to external API.,SLA Breach,User D,User A,Group B,Service A,Closed,High,P1,High,Low,Model A,2024-04-27 18:12:40,2024-04-27 21:12:40,2024-04-27 23:12:40
CR-244,Service outage detected - No connection to database.,Network,User D,User D,Group C,Service A,Canceled,Low,P2,Low,Low,Model C,2025-11-11 18:12:40,2025-11-11 21:12:40,2025-11-11 22:12:40
CR-245,Security patch applied: Monitoring for any issues.,Facilities,User B,"",Group C,Service C,New,Medium,P3,Low,Medium,Model A,2024-06-04 18:12:40,,
CR-246,Critical alert: Database server overload detected.,Facilities,User C,User B,Group A,Service C,Canceled,Medium,P3,High,High,Model B,2025-09-18 18:12:40,2025-09-18 19:12:40,2025-09-18 22:12:40
CR-247,Critical alert: Database server overload detected.,Access,User B,User D,Group C,Service C,Canceled,Low,P3,Low,Medium,Model A,2025-02-20 18:12:40,2025-02-20 20:12:40,2025-02-20 22:12:40
CR-248,Service outage detected - No connection to database.,Facilities,User D,User D,Group C,Service A,In Progress,Medium,P2,Low,Medium,Model A,2025-06-06 18:12:40,2025-06-06 20:12:40,
CR-249,Security patch applied: Monitoring for any issues.,Software,User B,User D,Group A,Service C,In Progress,Low,P2,Medium,High,Model C,2024-08-17 18:12:40,2024-08-17 19:12:40,
CR-250,Suspicious activity detected on account: User A.,Hardware,User C,User C,Group C,Service B,On Hold,Low,P3,Medium,High,Model A,2025-10-24 18:12:40,,
CR-251,Network issue: Unable to connect to external API.,Network,User C,User C,Group B,Service A,In Progress,Medium,P2,Low,Low,Model A,2024-10-10 18:12:40,2024-10-10 20:12:40,
CR-252,Critical alert: Database server overload detected.,Hardware,User B,User D,Group A,Service B,Closed,Low,P1,Low,Medium,Model B,2024-06-17 18:12:40,2024-06-17 19:12:40,2024-06-17 21:12:40
CR-253,Routine check: All systems operational - No issues detected.,Data,User B,User C,Group C,Service B,Resolved,High,P1,Low,Low,Model B,2024-12-09 18:12:40,2024-12-09 20:12:40,2024-12-09 23:12:40
CR-254,Data breach notification sent to affected users.,Hardware,User C,User A,Group C,Service B,New,Medium,P3,Medium,Low,Model C,2025-06-21 18:12:40,,
CR-255,Suspicious activity detected on account: User A.,Data,User C,"",Group B,Service C,Canceled,Low,P2,High,High,Model B,2025-03-24 18:12:40,2025-03-24 19:12:40,2025-03-24 23:12:40
